number,Product ,Subproduct ,Complexity,Figurative operation,Realisation,METONYMY count,METAPHOR count,FIGURATIVENESS count,Figurative interaction,product target,mode target,mode source,Main image 
2,Good,convenience,Simple,Metaphor,TIME IS SPACE (work day diagram),0,1,1,simple,no,visual,visual,Yes
4,Good,convenience,Simple,Metaphor,ICE-CREAM IS COFFEE,,1,1,simple,yes,visual,verbopictorial,Yes
10,Good,convenience,Simple,Metaphor,SCENARIO 1 (sexual members) IS SCENARIO 2 (social classes),,1,1,simple,no,absent,visual,No
11,Good,convenience,Simple,Metaphor,SCENARIO 1 (constipation) IS SCENARIO 2 (dam),,1,1,simple,no,absent,visual,No
12,Good,convenience,Simple,Metaphor,M&M COMPETITION IS POLITICAL POLL,,1,1,simple,yes,verbopictorial,verbopictorial,Yes
17,Good,convenience,Simple,Metaphor,SEXUAL COMMUNITY IS METRO NETWORK,,1,1,simple,no,verbal,visual,No
18,Good,convenience,Simple,Metaphor,ODOR IS CAR,,1,1,simple,no,verbal,absent,Yes
28,Good,convenience,Simple,Metaphor,"FEELING IS BORDER OF BALLOON ?(implications: PAIN IS POINTY, WELL-BEING IS ROUND)",,1,1,simple,no,absent,visual,Yes
30,Good,convenience,Simple,Metaphor,MEN ARE PIGS,,1,1,simple,no,visual,visual,No
35,Good,shopping,Simple,Metaphor,PEOPLE ARE MACHINES,,1,1,simple,no,visual,visual,Yes
38,Good,shopping,Simple,Metaphor,BAG IS ROCK/SHIELD,,1,1,simple,yes,visual,verbopictorial,Yes
39,Good,shopping,Simple,Metaphor,MORE IS UP,,1,1,simple,no,visual,visual,Yes
43,Good,shopping,Simple,Metaphor,LEVI IS BLACK SHEEP,,1,1,simple,yes,verbal,visual,Yes
45,Good,shopping,Simple,Metaphor,LEGO PLANE IS REAL PLANE,,1,1,simple,yes,visual,visual,Yes
48,Good,shopping,Simple,Metaphor,TYRE IS TENTACLE,,1,1,simple,yes,visual,visual,Yes
49,Good,shopping,Simple,Metaphor,COMPUTER MOUSE IS REAL MOUSE,,1,1,simple,no,visual,visual,Yes
52,Good,shopping,Simple,Metaphor,TRAINER IS TURTLE . Implication: slowness,,1,1,simple,no,visual,visual,Yes
