Participant,Nationality,Gender,ID_advert,Description_advert,Fig_complexity,Saliency_interpr,Effectiveness,Reaction,Number_int
1,1,1,1,Wilderness,1,3,1,3399,2
1,1,1,2,Oreo,4,2,3,2505,3
1,1,1,3,Snake WWF,2,3,2,4000,2
1,1,1,4,Nike,4,3,3,4000,3
1,1,1,5,Chinese forests,4,3,1,4000,4
1,1,1,6,7UP,4,3,2,4000,4
1,1,1,7,Arizona,1,3,3,1587,3
1,1,1,8,Audi love,5,1,3,3808,4
1,1,1,9,Audi attractive,5,3,1,3555,2
1,1,1,10,Boddingtons,5,3,1,4000,3
1,1,1,11,Duracell,3,2,2,3163,2
1,1,1,12,EDF,5,2,1,4000,2
1,1,1,13,Heinz,4,3,2,4000,1
1,1,1,14,Fur,4,3,2,3031,1
1,1,1,15,Smoking,4,3,3,4000,4
1,1,1,16,IBM,5,3,2,3844,2
1,1,1,17,Lego,3,1,3,3489,3
1,1,1,18,Nivea,5,2,1,4000,3
1,1,1,19,Eau de toilette,4,1,3,4000,3
1,1,1,20,Saab,4,3,1,3767,2
1,1,1,21,Schweppes,2,2,2,4000,3
1,1,1,22,Sprite,4,3,2,2384,3
1,1,1,23,Deforestation WWF,3,3,3,3676,2
1,1,1,24,Voltaren,4,3,2,4000,3
1,1,1,25,Wifi,3,3,2,4000,2
1,1,1,26,Windows,4,3,2,3647,4
2,1,1,1,Wilderness,1,3,1,4000,1
2,1,1,2,Oreo,4,2,2,1789,2
2,1,1,3,Snake WWF,2,3,3,1901,2
2,1,1,4,Nike,4,3,2,3010,2
2,1,1,5,Chinese forests,4,3,3,3398,1
2,1,1,6,7UP,4,3,1,2315,2
2,1,1,7,Arizona,1,3,2,4000,2
2,1,1,8,Audi love,5,3,2,1739,3
2,1,1,9,Audi attractive,5,1,2,3439,1
2,1,1,10,Boddingtons,5,3,1,4000,1
2,1,1,11,Duracell,3,3,1,2854,2
2,1,1,12,EDF,5,3,1,4000,3
2,1,1,13,Heinz,4,3,0,3026,1
2,1,1,14,Fur,4,3,3,2679,1
2,1,1,15,Smoking,4,3,2,4000,3
2,1,1,16,IBM,5,3,1,4000,2
2,1,1,17,Lego,3,3,2,4000,2
2,1,1,18,Nivea,5,2,0,4000,2
2,1,1,19,Eau de toilette,4,3,1,4000,3
2,1,1,20,Saab,4,3,0,4000,2
2,1,1,21,Schweppes,2,2,1,3686,2
2,1,1,22,Sprite,4,3,0,2219,2
2,1,1,23,Deforestation WWF,3,3,2,4000,2
2,1,1,24,Voltaren,4,3,1,4000,3
2,1,1,25,Wifi,3,3,0,4000,2
